month,department,headcount,new_hires,terminations,open_positions,time_to_fill_days,offer_acceptance_rate,turnover_rate
2025-02,Engineering,96,3,2,4,51,80.3,1.33
2025-02,Sales,61,1,0,3,30,79.9,1.58
2025-02,Operations,53,0,1,3,33,84.4,2.01
2025-02,HR,17,0,0,0,29,82.8,1.33
2025-02,Finance,22,0,0,0,40,78.0,0.97
2025-02,Customer Success,35,2,0,2,27,81.8,1.51
2025-03,Engineering,96,5,2,9,45,77.5,1.46
2025-03,Sales,64,3,2,4,34,82.0,1.76
2025-03,Operations,55,2,2,8,27,82.8,1.63
2025-03,HR,18,0,1,0,35,84.4,1.36
2025-03,Finance,20,0,0,2,37,80.1,1.22
2025-03,Customer Success,39,1,1,2,26,82.3,1.57
2025-04,Engineering,97,4,0,9,39,79.2,0.98
2025-04,Sales,66,3,0,2,34,86.4,1.31
2025-04,Operations,55,3,0,7,26,81.7,1.49
2025-04,HR,19,0,1,2,25,84.3,1.48
2025-04,Finance,21,0,0,1,32,82.9,0.4
2025-04,Customer Success,38,1,0,2,27,86.9,1.39
2025-05,Engineering,98,3,2,6,44,83.9,1.19
2025-05,Sales,66,2,2,2,29,81.0,2.2
2025-05,Operations,55,2,1,4,35,81.4,1.91
2025-05,HR,19,0,1,0,29,90.4,0.73
2025-05,Finance,21,3,0,4,35,80.6,1.12
2025-05,Customer Success,40,1,1,1,27,79.3,1.97
2025-06,Engineering,102,3,1,7,47,83.1,0.79
2025-06,Sales,67,1,2,1,36,89.1,2.38
2025-06,Operations,57,3,1,5,25,83.0,1.83
2025-06,HR,18,0,0,0,27,87.8,0.81
2025-06,Finance,22,0,1,3,43,83.6,0.65
2025-06,Customer Success,41,1,1,1,23,81.2,1.85
2025-07,Engineering,104,4,1,5,41,83.3,0.88
2025-07,Sales,69,2,1,5,39,75.4,2.68
2025-07,Operations,58,2,1,2,31,76.5,1.38
2025-07,HR,17,2,0,3,34,84.5,1.66
2025-07,Finance,21,1,0,2,37,73.8,1.17
2025-07,Customer Success,43,1,2,2,27,79.6,2.64
2025-08,Engineering,104,2,2,4,53,83.1,1.09
2025-08,Sales,69,1,2,1,34,79.4,2.41
2025-08,Operations,60,1,1,4,29,82.8,1.89
2025-08,HR,20,1,0,3,30,85.6,1.53
2025-08,Finance,22,1,1,3,31,83.3,0.81
2025-08,Customer Success,43,1,0,4,23,82.0,1.9
2025-09,Engineering,107,4,1,4,48,83.7,0.81
2025-09,Sales,70,4,1,6,35,83.4,1.73
2025-09,Operations,60,2,0,1,31,87.8,1.49
2025-09,HR,20,1,0,1,30,86.0,1.03
2025-09,Finance,22,0,0,0,43,84.6,0.91
2025-09,Customer Success,45,2,0,4,18,81.4,2.04
2025-10,Engineering,107,5,2,8,50,84.2,1.22
2025-10,Sales,72,4,1,8,26,83.1,1.85
2025-10,Operations,59,4,0,5,31,88.5,0.94
2025-10,HR,20,1,0,2,22,89.8,0.44
2025-10,Finance,23,0,0,0,40,84.1,1.44
2025-10,Customer Success,44,1,2,2,29,77.7,1.61
2025-11,Engineering,108,1,2,1,51,84.9,1.01
2025-11,Sales,71,2,1,2,25,78.7,2.18
2025-11,Operations,59,2,0,3,29,90.2,1.63
2025-11,HR,19,0,0,0,28,82.9,0.83
2025-11,Finance,22,0,0,1,40,83.6,1.59
2025-11,Customer Success,43,0,0,0,19,87.1,1.9
2025-12,Engineering,113,3,2,4,47,86.6,1.3
2025-12,Sales,69,1,1,1,31,75.8,1.58
2025-12,Operations,63,3,2,6,35,82.7,1.5
2025-12,HR,22,0,1,0,23,87.7,0.77
2025-12,Finance,22,0,0,0,39,82.2,0.69
2025-12,Customer Success,45,1,0,1,26,85.3,1.8
2026-01,Engineering,111,4,1,6,36,80.6,0.87
2026-01,Sales,73,1,1,2,31,79.1,2.18
2026-01,Operations,61,1,1,3,34,81.8,1.85
2026-01,HR,23,0,0,0,29,85.5,0.64
2026-01,Finance,24,1,0,1,35,82.6,1.02
2026-01,Customer Success,47,0,1,1,18,80.0,1.83
